District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Highville Charter School District,Highville Charter School,Public Charter Schools,2860113,1 Science Park,New Haven,06511,203-287-0528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-07-01T00:00:00.000,0,"1 Science Park
New Haven, CT 06511
(41.324991, -72.927915)"
Vernon School District,Center Road School,Public Schools,1461411,20 Center Rd.,Vernon,06066-5102,860-870-6300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Center Rd.
Vernon, CT 06066-5102
(41.839114, -72.467046)"
Meriden School District,Francis T. Maloney High School,Public Schools,0806111,121 Gravel St.,Meriden,06450-4611,203-238-2334,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"121 Gravel St.
Meriden, CT 06450-4611
(41.532535, -72.773964)"
Simsbury School District,Tariffville School,Public Schools,1280311,42 Winthrop St.,Tariffville,06081-9623,860-658-5825,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"42 Winthrop St.
Tariffville, CT 06081-9623
(41.909758, -72.766555)"
Regional School District 04,Valley Regional High School,Regional Schools,2046112,256 Kelsey Hill Rd.,Deep River,06417-1699,860-526-5328,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"256 Kelsey Hill Rd.
Deep River, CT 06417-1699
(41.368612, -72.448246)"
Norwalk School District,Norwalk High School,Public Schools,1036111,23 Calvin Murphy Street,Norwalk,06851-5597,203-838-4481,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"23 Calvin Murphy Street
Norwalk, CT 06851-5597
(41.122649, -73.388081)"
Windsor School District,Oliver Ellsworth School,Public Schools,1640911,730 Kennedy Ave.,Windsor,06095-1925,860-687-2070,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"730 Kennedy Ave.
Windsor, CT 06095-1925
(41.882872, -72.642607)"
Hartford School District,HPHS Engineering and Green Technology Academy,Public Schools,0647211,55 Forest Street,Hartford,06105,860-695-1315,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2009-07-01T00:00:00.000,0,"55 Forest Street
Hartford, CT 06105
(41.765518, -72.700214)"
Unified School District #1,York Correctional Institution,State Agency Facilities,3362515,201 West Main St.,Niantic,06357,860-451-3228,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"201 West Main St.
Niantic, CT 06357
(41.319057, -72.235076)"
Sterling School District,Sterling School District,Public School Districts,1360011,251 Sterling Road,Sterling,06377,860-564-4219,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-09-04T00:00:00.000,0,"251 Sterling Road
Sterling, CT 06377
(41.707179, -71.83616)"
Westbrook School District,Westbrook High School,Public Schools,1546111,156 McVeagh Rd.,Westbrook,06498,860-399-6214,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"156 McVeagh Rd.
Westbrook, CT 06498
(41.298097, -72.456267)"
North Haven School District,North Haven School District,Public School Districts,1010011,5 Linsley Street,North Haven,06473,203-239-2581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"5 Linsley Street
North Haven, CT 06473
(41.387119, -72.862175)"
New Britain School District,Smalley Elementary School,Public Schools,0891211,175 West St.,New Britain,06051-1415,860-225-8647,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"175 West St.
New Britain, CT 06051-1415
(41.677616, -72.771423)"
Regional School District 06,Wamogo Regional High School,Regional Schools,2066112,98 Wamogo Rd.,Litchfield,06759-3204,860-567-7410,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"98 Wamogo Rd.
Litchfield, CT 06759-3204
(41.727151, -73.22482)"
Plainfield School District,Plainfield High School,Public Schools,1096111,"105 Putnam Road, P.O. Box 218",Central Village,06332,860-564-6417,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"105 Putnam Road, P.O. Box 218
Central Village, CT 06332
(41.728051, -71.905319)"
Putnam School District,Putnam Elementary School,Public Schools,1160311,33 Wicker St.,Putnam,06260-1444,860-963-6925,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Wicker St.
Putnam, CT 06260-1444
(41.922138, -71.91921)"
Explorations District,Explorations,Public Charter Schools,2726113,71 Spencer St.,Winsted,06098,860-738-9070,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1997-07-01T00:00:00.000,0,"71 Spencer St.
Winsted, CT 06098
(41.929034, -73.075672)"
Watertown School District,Swift Middle School,Public Schools,1535111,250 Colonial St.,Oakville,06779-2008,860-945-4830,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"250 Colonial St.
Oakville, CT 06779-2008
(41.585111, -73.092761)"
Bristol School District,Ellen P. Hubbell School,Public Schools,0171411,90 West Washington St.,Bristol,06010-5444,860-584-7842,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"90 West Washington St.
Bristol, CT 06010-5444
(41.677824, -72.909018)"
South Windsor School District,Timothy Edwards School,Public Schools,1325111,100 Arnold Way,South Windsor,06074-3028,860-648-5030,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Arnold Way
South Windsor, CT 06074-3028
(41.82931, -72.523914)"
Farmington School District,Union School,Public Schools,0520111,173 School St.,Unionville,06085-1096,860-673-2575,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"173 School St.
Unionville, CT 06085-1096
(41.758586, -72.889596)"
Trumbull School District,Frenchtown Elementary School,Public Schools,1441011,30 Frenchtown Rd.,Trumbull,06611,203-452-4227,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2003-07-01T00:00:00.000,0,"30 Frenchtown Rd.
Trumbull, CT 06611
(41.230585, -73.211376)"
Waterbury School District,Washington School,Public Schools,1512311,685 Baldwin St.,Waterbury,06706-1507,203-574-8177,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"685 Baldwin St.
Waterbury, CT 06706-1507
(41.543386, -73.03412)"
Killingly School District,Killingly Memorial School,Public Schools,0690311,339 Main St.,Danielson,06239-2856,860-779-6680,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"339 Main St.
Danielson, CT 06239-2856
(41.80963, -71.878722)"
Regional School District 14,Bethlehem Elementary School,Regional Schools,2140112,92 East St.,Bethlehem,06751-1802,203-266-7506,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"92 East St.
Bethlehem, CT 06751-1802
(41.63983, -73.199359)"
Hartford School District,Sport and Medical Sciences Academy,Public Schools,0646511,280 Huyshope Avenue,Hartford,06106,860-695-6900,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,1,"280 Huyshope Avenue
Hartford, CT 06106
(41.752365, -72.660526)"
Newtown School District,Newtown Middle School,Public Schools,0975111,11 Queen St.,Newtown,06471-2172,203-426-7638,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"11 Queen St.
Newtown, CT 06471-2172
(41.410386, -73.301143)"
Stratford School District,Stratford School District,Public School Districts,1380011,1000 East Broadway,Stratford,06615,203-385-4210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1000 East Broadway
Stratford, CT 06615
(41.192825, -73.129657)"
Ridgefield School District,Ridgebury Elementary School,Public Schools,1180311,112 Bennett's Farm Rd.,Ridgefield,06877-1511,203-894-5875,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"112 Bennett's Farm Rd.
Ridgefield, CT 06877-1511
(41.338666, -73.510685)"
Rocky Hill School District,Rocky Hill High School,Public Schools,1196111,50 Chapin Ave.,Rocky Hill,06067,860-258-7721,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"50 Chapin Ave.
Rocky Hill, CT 06067
(41.670317, -72.645672)"
Connecticut Technical Education and Career System,Platt Technical High School,CT Technical Education and Career Schools,9002616,600 Orange Ave.,Milford,06461-2157,203-783-5300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"600 Orange Ave.
Milford, CT 06461-2157
(41.248425, -73.044939)"
West Haven School District,West Haven High School,Public Schools,1566111,One McDonough Plaza,West Haven,06516-5299,203-937-4360,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,
Meriden School District,Benjamin Franklin School,Public Schools,0800111,426 West Main St.,Meriden,06450-3802,203-235-7997,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"426 West Main St.
Meriden, CT 06450-3802
(41.540002, -72.817748)"
Groton School District,Charles Barnum School,Public Schools,0591811,68 Briar Hill Rd.,Groton,06340-2651,860-449-5640,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"68 Briar Hill Rd.
Groton, CT 06340-2651
(41.384669, -72.068688)"
Capitol Region Education Council,Museum Academy,Regional Education Service Center Schools,2410514,11 Turkey Hill Road,Bloomfield,06002,860-231-7800,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2011-08-30T00:00:00.000,1,"11 Turkey Hill Road
Bloomfield, CT 06002
(41.824065, -72.734604)"
New Haven School District,Conte/West Hills Magnet School,Public Schools,0933111,511 Chapel St.,New Haven,06511-1217,475-220-5400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"511 Chapel St.
New Haven, CT 06511-1217
(41.303721, -72.915581)"
Learn,Connecticut River Academy,Regional Education Service Center Schools,2456014,One Riverside Drive,East Hartford,06118,860-913-2032,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2010-07-01T00:00:00.000,1,
Ledyard School District,Ledyard Middle School,Public Schools,0725111,1860 Route 12,Gales Ferry,06335-1127,860-464-3188,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1860 Route 12
Gales Ferry, CT 06335-1127
(41.453258, -72.070344)"
Thomaston School District,Black Rock School,Public Schools,1400111,57 Branch Rd.,Thomaston,06787-1916,860-283-3040,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"57 Branch Rd.
Thomaston, CT 06787-1916
(41.657887, -73.093463)"
Newington School District,Elizabeth Green School,Public Schools,0940211,30 Thomas St.,Newington,06111-2059,860-666-3394,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Thomas St.
Newington, CT 06111-2059
(41.713688, -72.722123)"
Winchester School District,Batcheller Early Education Center,Public Schools,1620411,201 Pratt St.,Winsted,06098-2061,860-379-5423,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"201 Pratt St.
Winsted, CT 06098-2061
(41.911789, -73.074491)"
New Britain School District,Jefferson Elementary School,Public Schools,0890711,140 Horse Plain Rd.,New Britain,06053-1678,860-223-8007,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"140 Horse Plain Rd.
New Britain, CT 06053-1678
(41.695742, -72.798918)"
North Stonington School District,Wheeler High School,Public Schools,1026111,298 Norwich/Westerly Rd.,North Stonington,06359-0901,860-535-0377,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1984-07-01T00:00:00.000,0,"298 Norwich/Westerly Rd.
North Stonington, CT 06359-0901
(41.439169, -71.886206)"
Mansfield School District,Southeast Elementary School,Public Schools,0780511,134 Warrenville Rd.,Mansfield Center,06250-1229,860-423-1611,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1988-07-01T00:00:00.000,0,"134 Warrenville Rd.
Mansfield Center, CT 06250-1229
(41.774037, -72.192051)"
Wallingford School District,Evarts C. Stevens School,Public Schools,1480911,18 Kondracki Lane,Wallingford,06492-4938,203-294-3750,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"18 Kondracki Lane
Wallingford, CT 06492-4938
(41.434606, -72.814854)"
Weston School District,Weston High School,Public Schools,1576111,115 School Rd.,Weston,06883-1623,203-291-1602,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"115 School Rd.
Weston, CT 06883-1623
(41.208401, -73.380373)"
Redding School District,Redding School District,Public School Districts,1170011,654 Morehouse Road,Easton,06612,203-261-2513,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"654 Morehouse Road
Easton, CT 06612
(41.250684, -73.295676)"
Stamford School District,Cloonan School,Public Schools,1355611,11 West North St.,Stamford,06902-2217,203-977-4544,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"11 West North St.
Stamford, CT 06902-2217
(41.05881, -73.548268)"
Chester School District,Chester Elementary School,Public Schools,0260111,23 Ridge Rd.,Chester,06412-1121,860-526-5797,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"23 Ridge Rd.
Chester, CT 06412-1121
(41.404825, -72.458585)"
Branford School District,Mary R. Tisko School,Public Schools,0141511,118 Damascus Rd.,Branford,06405-3904,203-483-1826,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"118 Damascus Rd.
Branford, CT 06405-3904
(41.283748, -72.787479)"
Barkhamsted School District,Barkhamsted School District,Public School Districts,0050011,65 Ripley Hill Road,Barkhamsted,06063,860-738-4016,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"65 Ripley Hill Road
Barkhamsted, CT 06063
(41.911255, -72.991687)"
Danbury School District,Mill Ridge Primary School,Public Schools,0340511,49A High Ridge Rd.,Danbury,06811-5297,203-797-4781,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"49A High Ridge Rd.
Danbury, CT 06811-5297
(41.391015, -73.482851)"
East Granby School District,East Granby High School,Public Schools,0406111,95 South Main St.,East Granby,06026-9550,860-653-2541,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"95 South Main St.
East Granby, CT 06026-9550
(41.933214, -72.731103)"
Stratford School District,David Wooster Middle School,Public Schools,1385211,150 Lincoln St.,Stratford,06615-4000,203-385-4275,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Lincoln St.
Stratford, CT 06615-4000
(41.210908, -73.140632)"
Bridgeport School District,Madison School,Public Schools,0152011,376 Wayne St.,Bridgeport,06606,203-576-7186,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"376 Wayne St.
Bridgeport, CT 06606
(41.202592, -73.209127)"
West Haven School District,Alma E. Pagels School,Public Schools,1560811,26 Benham Hill Rd.,West Haven,06516-6545,203-931-6840,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"26 Benham Hill Rd.
West Haven, CT 06516-6545
(41.242601, -72.987816)"
Bridgeport School District,Hallen School,Public Schools,0151211,68 Omega Ave.,Bridgeport,06606-3099,203-576-8216,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"68 Omega Ave.
Bridgeport, CT 06606-3099
(41.21736, -73.191398)"
Wethersfield School District,Alfred W. Hanmer School,Public Schools,1590811,50 Francis St.,Wethersfield,06109-1801,860-571-8370,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"50 Francis St.
Wethersfield, CT 06109-1801
(41.715495, -72.658863)"
Darien School District,Darien School District,Public School Districts,0350011,"2 Renshaw Road, Box 1167",Darien,06820,203-656-7400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"2 Renshaw Road, Box 1167
Darien, CT 06820
(41.065892, -73.484237)"
Fairfield School District,Tomlinson Middle School,Public Schools,0515111,200 Unquowa Rd.,Fairfield,06824,203-255-8336,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"200 Unquowa Rd.
Fairfield, CT 06824
(41.143467, -73.25804)"
Plainfield School District,Plainfield School District,Public School Districts,1090011,651 Norwich Road,Plainfield,06374,860-564-6403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"651 Norwich Road
Plainfield, CT 06374
(41.676078, -71.915427)"
Madison School District,Daniel Hand High School,Public Schools,0766111,286 Green Hill Rd.,Madison,06443,203-245-6350,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"286 Green Hill Rd.
Madison, CT 06443
(41.296482, -72.621799)"
Tolland School District,Tolland High School,Public Schools,1426111,1 Eagle Hill,Tolland,06084-3323,860-870-6818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 Eagle Hill
Tolland, CT 06084-3323
(41.869531, -72.347193)"
Regional School District 18,Lyme-Old Lyme Middle School,Regional Schools,2185112,53 Lyme St.,Old Lyme,06371-2335,860-434-2568,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"53 Lyme St.
Old Lyme, CT 06371-2335
(41.317919, -72.329563)"
Milford School District,Joseph A. Foran High School,Public Schools,0846311,80 Foran Dr.,Milford,06460-7799,203-783-3502,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"80 Foran Dr.
Milford, CT 06460-7799
(41.218175, -73.013601)"
Hartford School District,McDonough Middle School,Public Schools,0641211,111 Hillside Avenue,Hartford,06106-3545,860-695-4260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"111 Hillside Avenue
Hartford, CT 06106-3545
(41.750413, -72.697811)"
New London School District,Nathan Hale Arts Magnet School,Public Schools,0950911,37 Beech Drive,New London,06320-4698,860-447-6060,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,1,"37 Beech Drive
New London, CT 06320-4698
(41.322045, -72.098397)"
Bristol School District,Bristol Early Childhood Center-BECC,Public Schools,0170411,240 Stafford Avenue,Bristol,06010,860-584-7072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-28T00:00:00.000,,"240 Stafford Avenue
Bristol, CT 06010
(41.683509, -72.903301)"
Canaan School District,Lee H. Kellogg School,Public Schools,0210111,47 Main St.,Falls Village,06031,860-824-7791,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"47 Main St.
Falls Village, CT 06031
(41.95611, -73.359338)"
Enfield School District,Hazardville Memorial School,Public Schools,0490411,68 North Maple St.,Enfield,06082-3904,860-763-7500,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"68 North Maple St.
Enfield, CT 06082-3904
(41.993259, -72.539816)"
East Haven School District,Grove J. Tuttle School,Public Schools,0441011,108 Prospect St.,East Haven,06512-3307,203-468-3315,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"108 Prospect St.
East Haven, CT 06512-3307
(41.272502, -72.87346)"
Greenwich School District,Greenwich High School,Public Schools,0576111,10 Hillside Rd.,Greenwich,06830-4835,203-625-8000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"10 Hillside Rd.
Greenwich, CT 06830-4835
(41.040861, -73.611729)"
Middletown School District,Woodrow Wilson Middle School,Public Schools,0835411,370 Hunting Hill Ave.,Middletown,06457-4356,860-347-8594,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"370 Hunting Hill Ave.
Middletown, CT 06457-4356
(41.539727, -72.64695)"
Stafford School District,Stafford Elementary School,Public Schools,1340611,11 Levinthal Run,Stafford Springs,06076,860-684-6677,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2007-07-01T00:00:00.000,0,"11 Levinthal Run
Stafford Springs, CT 06076
(41.971041, -72.302228)"
Groton School District,Robert E. Fitch High School,Public Schools,0596111,101 Groton Long Point Road,Groton,06340-4861,860-449-7200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"101 Groton Long Point Road
Groton, CT 06340-4861
(41.341659, -72.00976)"
Cheshire School District,Cheshire School District,Public School Districts,0250011,29 Main Street,Cheshire,06410,203-250-2400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"29 Main Street
Cheshire, CT 06410
(41.501041, -72.9014)"
Meriden School District,Roger Sherman School,Public Schools,0800811,64 North Pearl St.,Meriden,06450-4419,203-238-1286,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"64 North Pearl St.
Meriden, CT 06450-4419
(41.535794, -72.782476)"
Waterbury School District,Waterbury Arts Magnet School (High),Public Schools,1516011,16 South Elm St.,Waterbury,06706,203-573-6300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2005-07-01T00:00:00.000,1,"16 South Elm St.
Waterbury, CT 06706
(41.554306, -73.037067)"
Hamden School District,West Woods School,Public Schools,0621411,350 West Todd St.,Hamden,06518-1129,203-407-2050,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"350 West Todd St.
Hamden, CT 06518-1129
(41.432378, -72.925003)"
Bridgeport School District,High Horizons Magnet School,Public Schools,0154511,700 Palisade Ave.,Bridgeport,06610-3457,203-576-7807,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"700 Palisade Ave.
Bridgeport, CT 06610-3457
(41.198746, -73.164948)"
Waterbury School District,Reed School,Public Schools,1513411,33 Griggs Street,Waterbury,06704,203-574-8180,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2012-08-27T00:00:00.000,0,"33 Griggs Street
Waterbury, CT 06704
(41.565402, -73.028433)"
Wethersfield School District,Wethersfield High School,Public Schools,1596111,411 Wolcott Hill Rd.,Wethersfield,06109-2798,860-571-8200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"411 Wolcott Hill Rd.
Wethersfield, CT 06109-2798
(41.708177, -72.668729)"
Waterbury School District,F. J. Kingsbury School,Public Schools,1511411,220 Columbia Blvd.,Waterbury,06710-1401,203-574-8172,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"220 Columbia Blvd.
Waterbury, CT 06710-1401
(41.57187, -73.045818)"
Unified School District #1,Bridgeport Correctional Center,State Agency Facilities,3360115,1106 North Ave.,Bridgeport,06604-2710,475-225-9000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"1106 North Ave.
Bridgeport, CT 06604-2710
(41.189328, -73.199652)"
